,channel1,channel2
0,0.0,0.0
1,1663846062940.0,7509.0
2,1663846062940.0,7509.0
3,1663846062940.0,7509.0
4,1663846062940.0,7509.0
5,1663846062940.0,7509.0
6,1663846062940.0,7509.0
7,1663846062940.0,7509.0
8,1663846062940.0,7509.0
9,1663846062940.0,7509.0
10,1663846072940.0,7611.0
11,1663846072940.0,7611.0
12,1663846072940.0,7611.0
13,1663846072940.0,7611.0
14,1663846072940.0,7611.0
15,1663846072940.0,7611.0
16,1663846072940.0,7611.0
17,1663846072940.0,7611.0
18,1663846072940.0,7611.0
19,1663846072940.0,7611.0
20,1663846082940.0,7609.0
21,1663846082940.0,7609.0
22,1663846082940.0,7609.0
23,1663846082940.0,7609.0
24,1663846082940.0,7609.0
25,1663846082940.0,7609.0
26,1663846082940.0,7609.0
27,1663846082940.0,7609.0
28,1663846082940.0,7609.0
29,1663846082940.0,7609.0
30,1663846092940.0,7666.0
31,1663846092940.0,7666.0
32,1663846092940.0,7666.0
33,1663846092940.0,7666.0
34,1663846092940.0,7666.0
35,1663846092940.0,7666.0
36,1663846092940.0,7666.0
37,1663846092940.0,7666.0
38,1663846092940.0,7666.0
39,1663846092940.0,7666.0
40,1663846102940.0,7641.0
41,1663846102940.0,7641.0
42,1663846102940.0,7641.0
43,1663846102940.0,7641.0
44,1663846102940.0,7641.0
45,1663846102940.0,7641.0
46,1663846102940.0,7641.0
47,1663846102940.0,7641.0
48,1663846102940.0,7641.0
49,1663846102940.0,7641.0
50,1663846112940.0,7679.0
51,1663846112940.0,7679.0
52,1663846112940.0,7679.0
53,1663846112940.0,7679.0
54,1663846112940.0,7679.0
55,1663846112940.0,7679.0
56,1663846112940.0,7679.0
57,1663846112940.0,7679.0
58,1663846112940.0,7679.0
59,1663846112940.0,7679.0
60,1663846122940.0,7658.0
61,1663846122940.0,7658.0
62,1663846122940.0,7658.0
63,1663846122940.0,7658.0
64,1663846122940.0,7658.0
65,1663846122940.0,7658.0
66,1663846122940.0,7658.0
67,1663846122940.0,7658.0
68,1663846122940.0,7658.0
69,1663846122940.0,7658.0
70,1663846132940.0,7697.0
71,1663846132940.0,7697.0
72,1663846132940.0,7697.0
73,1663846132940.0,7697.0
74,1663846132940.0,7697.0
75,1663846132940.0,7697.0
76,1663846132940.0,7697.0
77,1663846132940.0,7697.0
78,1663846132940.0,7697.0
79,1663846132940.0,7697.0
80,1663846142940.0,7696.0
81,1663846142940.0,7696.0
82,1663846142940.0,7696.0
83,1663846142940.0,7696.0
84,1663846142940.0,7696.0
85,1663846142940.0,7696.0
86,1663846142940.0,7696.0
87,1663846142940.0,7696.0
88,1663846142940.0,7696.0
89,1663846142940.0,7696.0
90,1663846152940.0,7730.0
91,1663846152940.0,7730.0
92,1663846152940.0,7730.0
93,1663846152940.0,7730.0
94,1663846152940.0,7730.0
95,1663846152940.0,7730.0
96,1663846152940.0,7730.0
97,1663846152940.0,7730.0
98,1663846152940.0,7730.0
99,1663846152940.0,7730.0
100,1663846162940.0,7724.0
101,1663846162940.0,7724.0
102,1663846162940.0,7724.0
103,1663846162940.0,7724.0
104,1663846162940.0,7724.0
105,1663846162940.0,7724.0
106,1663846162940.0,7724.0
107,1663846162940.0,7724.0
108,1663846162940.0,7724.0
109,1663846162940.0,7724.0
110,1663846172940.0,7714.0
111,1663846172940.0,7714.0
112,1663846172940.0,7714.0
113,1663846172940.0,7714.0
114,1663846172940.0,7714.0
115,1663846172940.0,7714.0
116,1663846172940.0,7714.0
117,1663846172940.0,7714.0
118,1663846172940.0,7714.0
119,1663846182940.0,7716.0
120,1663846182940.0,7716.0
121,1663846182940.0,7716.0
122,1663846182940.0,7716.0
123,1663846182940.0,7716.0
124,1663846182940.0,7716.0
125,1663846182940.0,7716.0
126,1663846182940.0,7716.0
127,1663846182940.0,7716.0
128,1663846182940.0,7716.0
129,1663846192940.0,7721.0
130,1663846192940.0,7721.0
131,1663846192940.0,7721.0
132,1663846192940.0,7721.0
133,1663846192940.0,7721.0
134,1663846192940.0,7721.0
135,1663846192940.0,7721.0
136,1663846192940.0,7721.0
137,1663846192940.0,7721.0
138,1663846192940.0,7721.0
139,1663846202940.0,7700.0
140,1663846202940.0,7700.0
141,1663846202940.0,7700.0
142,1663846202940.0,7700.0
143,1663846202940.0,7700.0
144,1663846202940.0,7700.0
145,1663846202940.0,7700.0
146,1663846202940.0,7700.0
147,1663846202940.0,7700.0
148,1663846202940.0,7700.0
149,1663846212940.0,7702.0
150,1663846212940.0,7702.0
151,1663846212940.0,7702.0
152,1663846212940.0,7702.0
153,1663846212940.0,7702.0
154,1663846212940.0,7702.0
155,1663846212940.0,7702.0
156,1663846212940.0,7702.0
157,1663846212940.0,7702.0
158,1663846212940.0,7702.0
159,1663846222940.0,7708.0
160,1663846222940.0,7708.0
161,1663846222940.0,7708.0
162,1663846222940.0,7708.0
163,1663846222940.0,7708.0
164,1663846222940.0,7708.0
165,1663846222940.0,7708.0
166,1663846222940.0,7708.0
167,1663846222940.0,7708.0
168,1663846222940.0,7708.0
169,1663846232940.0,7676.0
170,1663846232940.0,7676.0
171,1663846232940.0,7676.0
172,1663846232940.0,7676.0
173,1663846232940.0,7676.0
174,1663846232940.0,7676.0
175,1663846232940.0,7676.0
176,1663846232940.0,7676.0
177,1663846232940.0,7676.0
178,1663846232940.0,7676.0
179,1663846242940.0,7703.0
180,1663846242940.0,7703.0
181,1663846242940.0,7703.0
182,1663846242940.0,7703.0
183,1663846242940.0,7703.0
184,1663846242940.0,7703.0
185,1663846242940.0,7703.0
186,1663846242940.0,7703.0
187,1663846242940.0,7703.0
188,1663846242940.0,7703.0
189,1663846252940.0,7679.0
190,1663846252940.0,7679.0
191,1663846252940.0,7679.0
192,1663846252940.0,7679.0
193,1663846252940.0,7679.0
194,1663846252940.0,7679.0
195,1663846252940.0,7679.0
196,1663846252940.0,7679.0
197,1663846252940.0,7679.0
198,1663846252940.0,7679.0
199,1663846262940.0,7699.0
200,1663846262940.0,7699.0
201,1663846262940.0,7699.0
202,1663846262940.0,7699.0
203,1663846262940.0,7699.0
204,1663846262940.0,7699.0
205,1663846262940.0,7699.0
206,1663846262940.0,7699.0
207,1663846262940.0,7699.0
208,1663846262940.0,7699.0
209,1663846272940.0,7721.0
210,1663846272940.0,7721.0
211,1663846272940.0,7721.0
212,1663846272940.0,7721.0
213,1663846272940.0,7721.0
214,1663846272940.0,7721.0
215,1663846272940.0,7721.0
216,1663846272940.0,7721.0
217,1663846272940.0,7721.0
218,1663846272940.0,7721.0
219,1663846282940.0,7715.0
220,1663846282940.0,7715.0
221,1663846282940.0,7715.0
222,1663846282940.0,7715.0
223,1663846282940.0,7715.0
224,1663846282940.0,7715.0
225,1663846282940.0,7715.0
226,1663846282940.0,7715.0
227,1663846282940.0,7715.0
228,1663846282940.0,7715.0
229,1663846292940.0,7723.0
230,1663846292940.0,7723.0
231,1663846292940.0,7723.0
232,1663846292940.0,7723.0
233,1663846292940.0,7723.0
234,1663846292940.0,7723.0
235,1663846292940.0,7723.0
236,1663846292940.0,7723.0
237,1663846292940.0,7723.0
238,1663846292940.0,7723.0
239,1663846302940.0,7659.0
240,1663846302940.0,7659.0
241,1663846302940.0,7659.0
242,1663846302940.0,7659.0
243,1663846302940.0,7659.0
244,1663846302940.0,7659.0
245,1663846302940.0,7659.0
246,1663846302940.0,7659.0
247,1663846302940.0,7659.0
248,1663846312940.0,7691.0
249,1663846312940.0,7691.0
250,1663846312940.0,7691.0
251,1663846312940.0,7691.0
252,1663846312940.0,7691.0
253,1663846312940.0,7691.0
254,1663846312940.0,7691.0
255,1663846312940.0,7691.0
256,1663846312940.0,7691.0
257,1663846312940.0,7691.0
258,1663846322940.0,7707.0
259,1663846322940.0,7707.0
260,1663846322940.0,7707.0
261,1663846322940.0,7707.0
262,1663846322940.0,7707.0
263,1663846322940.0,7707.0
264,1663846322940.0,7707.0
265,1663846322940.0,7707.0
266,1663846322940.0,7707.0
267,1663846322940.0,7707.0
268,1663846332940.0,7726.0
269,1663846332940.0,7726.0
270,1663846332940.0,7726.0
271,1663846332940.0,7726.0
272,1663846332940.0,7726.0
273,1663846332940.0,7726.0
274,1663846332940.0,7726.0
275,1663846332940.0,7726.0
276,1663846332940.0,7726.0
277,1663846332940.0,7726.0
278,1663846342940.0,7694.0
279,1663846342940.0,7694.0
280,1663846342940.0,7694.0
281,1663846342940.0,7694.0
282,1663846342940.0,7694.0
283,1663846342940.0,7694.0
284,1663846342940.0,7694.0
285,1663846342940.0,7694.0
286,1663846342940.0,7694.0
287,1663846342940.0,7694.0
288,1663846352940.0,7730.0
289,1663846352940.0,7730.0
290,1663846352940.0,7730.0
291,1663846352940.0,7730.0
292,1663846352940.0,7730.0
293,1663846352940.0,7730.0
294,1663846352940.0,7730.0
295,1663846352940.0,7730.0
296,1663846352940.0,7730.0
297,1663846352940.0,7730.0
298,1663846362940.0,7763.0
299,1663846362940.0,7763.0
300,1663846362940.0,7763.0
301,1663846362940.0,7763.0
302,1663846362940.0,7763.0
303,1663846362940.0,7763.0
304,1663846362940.0,7763.0
305,1663846362940.0,7763.0
306,1663846362940.0,7763.0
307,1663846362940.0,7763.0
308,1663846372940.0,7692.0
309,1663846372940.0,7692.0
310,1663846372940.0,7692.0
311,1663846372940.0,7692.0
312,1663846372940.0,7692.0
313,1663846372940.0,7692.0
314,1663846372940.0,7692.0
315,1663846372940.0,7692.0
316,1663846372940.0,7692.0
317,1663846372940.0,7692.0
318,1663846382940.0,7727.0
319,1663846382940.0,7727.0
320,1663846382940.0,7727.0
321,1663846382940.0,7727.0
322,1663846382940.0,7727.0
323,1663846382940.0,7727.0
324,1663846382940.0,7727.0
325,1663846382940.0,7727.0
326,1663846382940.0,7727.0
327,1663846382940.0,7727.0
328,1663846392940.0,7711.0
329,1663846392940.0,7711.0
330,1663846392940.0,7711.0
331,1663846392940.0,7711.0
332,1663846392940.0,7711.0
333,1663846392940.0,7711.0
334,1663846392940.0,7711.0
335,1663846392940.0,7711.0
336,1663846392940.0,7711.0
337,1663846402940.0,7733.0
338,1663846402940.0,7733.0
339,1663846402940.0,7733.0
340,1663846402940.0,7733.0
341,1663846402940.0,7733.0
342,1663846402940.0,7733.0
343,1663846402940.0,7733.0
344,1663846402940.0,7733.0
345,1663846402940.0,7733.0
346,1663846402940.0,7733.0
347,1663846412940.0,7722.0
348,1663846412940.0,7722.0
349,1663846412940.0,7722.0
350,1663846412940.0,7722.0
351,1663846412940.0,7722.0
352,1663846412940.0,7722.0
353,1663846412940.0,7722.0
354,1663846412940.0,7722.0
355,1663846412940.0,7722.0
356,1663846412940.0,7722.0
357,1663846422940.0,7726.0
358,1663846422940.0,7726.0
359,1663846422940.0,7726.0
360,1663846422940.0,7726.0
361,1663846422940.0,7726.0
362,1663846422940.0,7726.0
363,1663846422940.0,7726.0
364,1663846422940.0,7726.0
365,1663846422940.0,7726.0
366,1663846422940.0,7726.0
367,1663846432940.0,7723.0
368,1663846432940.0,7723.0
369,1663846432940.0,7723.0
370,1663846432940.0,7723.0
371,1663846432940.0,7723.0
372,1663846432940.0,7723.0
373,1663846432940.0,7723.0
374,1663846432940.0,7723.0
375,1663846432940.0,7723.0
376,1663846432940.0,7723.0
377,1663846442940.0,7733.0
378,1663846442940.0,7733.0
379,1663846442940.0,7733.0
380,1663846442940.0,7733.0
381,1663846442940.0,7733.0
382,1663846442940.0,7733.0
383,1663846442940.0,7733.0
384,1663846442940.0,7733.0
385,1663846442940.0,7733.0
386,1663846442940.0,7733.0
387,1663846452940.0,7728.0
388,1663846452940.0,7728.0
389,1663846452940.0,7728.0
390,1663846452940.0,7728.0
391,1663846452940.0,7728.0
392,1663846452940.0,7728.0
393,1663846452940.0,7728.0
394,1663846452940.0,7728.0
395,1663846452940.0,7728.0
396,1663846452940.0,7728.0
397,1663846462940.0,7768.0
398,1663846462940.0,7768.0
399,1663846462940.0,7768.0
400,1663846462940.0,7768.0
401,1663846462940.0,7768.0
402,1663846462940.0,7768.0
403,1663846462940.0,7768.0
404,1663846462940.0,7768.0
405,1663846462940.0,7768.0
406,1663846472940.0,7759.0
407,1663846472940.0,7759.0
408,1663846472940.0,7759.0
409,1663846472940.0,7759.0
410,1663846472940.0,7759.0
411,1663846472940.0,7759.0
412,1663846472940.0,7759.0
413,1663846472940.0,7759.0
414,1663846472940.0,7759.0
415,1663846472940.0,7759.0
416,1663846482940.0,7692.0
417,1663846482940.0,7692.0
418,1663846482940.0,7692.0
419,1663846482940.0,7692.0
420,1663846482940.0,7692.0
421,1663846482940.0,7692.0
422,1663846482940.0,7692.0
423,1663846482940.0,7692.0
424,1663846482940.0,7692.0
425,1663846482940.0,7692.0
426,1663846492940.0,7724.0
427,1663846492940.0,7724.0
428,1663846492940.0,7724.0
